location_id,guest_user_available,name,description,area,rating,category,category_name,category_resource,latitude,longitude,coordinates,website,address,phone,reviews,medias,media_urls,favorite_locations,updatedAt,Country,Geocode cache
rec0hWtOMNxOFOw55,,Backpack Beach Hostel & Reggae Bar,,,4,Accommodation,Accommodation,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Accommodation_eXD625qUuj.png?updatedAt=1728630048891,6.068105,80.1678311,"6.068105,80.1678311",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi4wNjgxMDUsODAuMTY3ODMxMSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjYuMDY4MTA1LCJsbmciOjgwLjE2NzgzMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0i5ReTuN7fZ4Vb,checked,Balana Fort,"Today in remnants and managed by the Sri Lanka Archaeological Department, Belana Fort, near the Alagalla Mountain Range in the Kingdom of Kandy, once played a major role in Sri Lanka’s history. The fort was originally built to protect Sri Lankans from successive invasion forces of the Portuguese, English and Dutch from 1505 to 1948. One battle around the fort is known to have cost 4,000 Portuguese invaders their lives.",Macchanu - Zone 2,2,Cultural,Cultural,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Cultural.png?updatedAt=1728629392027,7.26902602,80.49796931,"7.26902602,80.49796931",,,,recsyoq8Ta8l2uCFe,"4450,4451","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0i5ReTuN7fZ4Vb_2.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0i5retun7fz4vb_1.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy4yNjkwMjYwMiw4MC40OTc5NjkzMSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjcuMjY5MDI2LCJsbmciOjgwLjQ5Nzk2OSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0kKLOLXZYPUyaY,,IOC Fuel Station Kottegoda,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,5.949308,80.6381262,"5.949308,80.6381262",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNS45NDkzMDgsODAuNjM4MTI2MiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjUuOTQ5MzA4LCJsbmciOjgwLjYzODEyNiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0mLFA6hQynZ56J,checked,Dambegoda Bodhisattva statue,The 15 cubits-high Dambegoda Bodhisattva statue is mentioned in texts dating back to 1780 CE and is proof of the strong influence of the Maitreya cult in that period of Sri Lanka’s history.,Makara - Zone 1,3,Cultural,Cultural,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Cultural.png?updatedAt=1728629392027,6.72649600,81.35753600,"6.72649600,81.35753600",,,,"recWphwsXhvOwwVEC,rec8Rad2uSAShwfku,recyusSHIYgKnwagJ","4452,4453","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0mLFA6hQynZ56J_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0mLFA6hQynZ56J_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi43MjY0OTYwMCw4MS4zNTc1MzYwMCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjYuNzI2NDk2LCJsbmciOjgxLjM1NzUzNiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0MVx0gCOSn66ve,,"Jayasri Motors
",,,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,6.4029327,80.337716,"6.4029327,80.337716",,,712693007,,,,,30/9/2025 3:22pm,Sri Lanka,
rec0MZNCIKCCcvhv2,,Suranga Motors Dickwella,"Dickwella mechanic- open Monday to Saturday  
8.30 am - 5.30 pm",,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,5.9748808,80.6941467,"5.9748808,80.6941467",,,94 777 538 966,,,,,30/9/2025 3:22pm,Sri Lanka,
rec0OXqMdDAeZ85TX,checked,Maligatenne ( Nuwaragalkande) Ruins,"For centuries a trinity of reservoir, village and temple were a way of life for the Sri Lankan people and at the ruins at Nuwaragalkande all three aspects can be seen. It is said that the area was used by Mahasen in the 3rd century and that some of the ruins are of his Maligatenne (semi-palace).",Macchanu - Zone 2,4,Cultural,Cultural,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Cultural.png?updatedAt=1728629392027,7.84342510,80.79658460,"7.84342510,80.79658460",,,,"recGuZMwLyefE5X45,recPmW0N9fgUr3rQE,recqtkKpQfgcEi7bo","4454,4455","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0oxqmddaez85tx_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0oxqmddaez85tx_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy44NDM0MjUxMCw4MC43OTY1ODQ2MCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjcuODQzNDI1LCJsbmciOjgwLjc5NjU4NSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0p5pDZLz7GdCPI,checked,Vessagiriya Ruins - Anuradhapura,Located among 3 huge boulders the Vessagiriya Ruins at Anuradhapura include 23 caves and a mysterious round building which archaeologists are struggling to learn its purpose.,Macchanu - Zone 2,4,Cultural,Cultural,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Cultural.png?updatedAt=1728629392027,8.32827870,80.39003440,"8.32827870,80.39003440",,,,"recf8MGqBulo0UM6I,recTdKCmbI0T8E3mK,recTzDTolptwtl4k0,recnro0GPtOaNoysv","4456,4457","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0p5pDZLz7GdCPI_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0p5pDZLz7GdCPI_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiOC4zMjgyNzg3MCw4MC4zOTAwMzQ0MCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjguMzI4Mjc5LCJsbmciOjgwLjM5MDAzNCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0PqakquJJNsmSv,,"Irupalai, Lanka Filling Station",,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,9.6869823,80.048279,"9.6869823,80.048279",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiOS42ODY5ODIzLDgwLjA0ODI3OSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjkuNjg2OTgyLCJsbmciOjgwLjA0ODI3OSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0Rf6HKTAJ9SRcn,,Welgam Rajamaha Viharaya,The Welgam Rajamaha Viharaya is known to Hindus as the Natanar Kovil and so that is probably why it was not destroyed by the Chola invaders who did destroy many other Buddhist temples in the area.,Kaliya - Zone 3,3,Cultural,Cultural,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Cultural.png?updatedAt=1728629392027,8.64672100,81.17157500,"8.64672100,81.17157500",,,,"recnen2SJODK38N21,rec4XqJ8lRAjfL4Dw","4442,4443","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0Rf6HKTAJ9SRcn_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0Rf6HKTAJ9SRcn_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiOC42NDY3MjEwMCw4MS4xNzE1NzUwMCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjguNjQ2NzIxLCJsbmciOjgxLjE3MTU3NSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0sIBlPpIc2hwv5,,Nilgala Forest,Nilgala forest reserve is located in the Monaragala District and is a popular place to visit for both bird watchers and butterfly enthusiasts. Visitors to the forest will usually use the footpath which starts at Pitakumbura village.,Sharabha - Zone 4,4,Wildlife,Wildlife,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Wildlife_MGRmv_X4vX.png?updatedAt=1728630071955,7.19203843,81.39770976,"7.19203843,81.39770976",,,,"rec3uCrcxAH7YWOe0,recFmf4PcxZVmLz7A,recj5IpVWTBNRPbbA","4458,4459","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0sIBlPpIc2hwv5_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0sIBlPpIc2hwv5_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy4xOTIwMzg0Myw4MS4zOTc3MDk3NiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjcuMTkyMDM4LCJsbmciOjgxLjM5NzcxLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlLQ1QyU3pMNEwzU3FOTiJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRBcnNiOVZPQ2MybWNVZiJ9LCJlIjowfQ==
rec0T6d0ODTcUTRb6,,Sinharaja Eco Lodge Lankagama,,,4,Accommodation,Accommodation,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Accommodation_eXD625qUuj.png?updatedAt=1728630048891,6.3744858,80.4526284,"6.3744858,80.4526284",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi4zNzQ0ODU4LDgwLjQ1MjYyODQiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo2LjM3NDQ4NiwibG5nIjo4MC40NTI2MjgsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0u2Z3PtIudo5T5,,Thattu Ella Falls,The 14 meter high Thattu Ella Falls located in the village of Lankagama in Sri Lanka’s Galle District is just one of five waterfalls within a stretch of 1km of the Hariyawa stream.,Sharabha - Zone 4,3,Waterfalls,Waterfalls,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Waterfalls_9p71Dn9Vm.png?updatedAt=1728630048678,6.37586670,80.45229650,"6.37586670,80.45229650",,,,"recGX9Hl4LSrqIMLZ,recFouLt6lLtt3BjV,rec1bqEQH71yRa2bI,rechtO375dO0EgmJs,recqHP4poEo7rXEa8","4460,4461","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0u2Z3PtIudo5T5_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0u2Z3PtIudo5T5_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi4zNzU4NjY3MCw4MC40NTIyOTY1MCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjYuMzc1ODY3LCJsbmciOjgwLjQ1MjI5NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0Wawz7Dz9aS8wA,,Weligalla Cushion Works mechanical repair,,,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,7.2376261,80.593846,"7.2376261,80.593846",,,777167341,,,,,30/9/2025 3:22pm,Sri Lanka,
rec0xDpFCK9W9pGSo,,ZAROOK MOTORS - PUTTALAM,"Mechanic - 713333330, 322269489",,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,8.005111111,79.83825,"8.005111111,79.83825",,,94713333330,,,,,30/9/2025 3:22pm,Sri Lanka,
rec0y6YI8rZxGeSSZ,,Ceypetco Fuel Station,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,7.3099026,80.6365438,"7.3099026,80.6365438",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy4zMDk5MDI2LDgwLjYzNjU0MzgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo3LjMwOTkwMywibG5nIjo4MC42MzY1NDQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0Ylkj8XFAAvoaw,,Nallur Kandaswamy Kovil,Located at Nallur in Sri Lanka’s Northern Province Nallur Kandaswamy Kovil is considered a significant Hindu Temple. Originally founded in the 10th century the temple was further developed in the 13th century when Kotte Kings built their capital’s palace nearby.,Makara - Zone 1,4,Cultural,Cultural,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Cultural.png?updatedAt=1728629392027,9.67457810,80.02940180,"9.67457810,80.02940180",,,,recjoq3AuXm1iJ6Po,"4444,4445","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0Ylkj8XFAAvoaw_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0Ylkj8XFAAvoaw_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiOS42NzQ1NzgxMCw4MC4wMjk0MDE4MCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjkuNjc0NTc4LCJsbmciOjgwLjAyOTQwMiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0ZP2hHqhTFBTGd,,The Bay,,,4,Accommodation,Accommodation,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Accommodation_eXD625qUuj.png?updatedAt=1728630048891,6.8436904,81.8313878,"6.8436904,81.8313878",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi44NDM2OTA0LDgxLjgzMTM4NzgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo2Ljg0MzY5LCJsbmciOjgxLjgzMTM4OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec1AqEUtGyfeRKeL,,Sea Sands Beach Hostel,+94 77 767 4499 - mention you are renting a tuktuk from tuktukrental.com and your booking reference number.,,4,Accommodation,Accommodation,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Accommodation_eXD625qUuj.png?updatedAt=1728630048891,7.2395443,79.8416197,"7.2395443,79.8416197",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy4yMzk1NDQzLDc5Ljg0MTYxOTciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo3LjIzOTU0NCwibG5nIjo3OS44NDE2MiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec1aS6zLnysGJdEY,,Jegathees and Sons - CEYPETCO Filling Station,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,7.719618,81.6972126,"7.719618,81.6972126",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy43MTk2MTgsODEuNjk3MjEyNiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjcuNzE5NjE4LCJsbmciOjgxLjY5NzIxMywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec1g6Lkw7P1asdB8,,N.S. Motors,,,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,7.4085721,80.4897273,"7.4085721,80.4897273",,,725643361,,,,,30/9/2025 3:22pm,Sri Lanka,
